"state","name","county","storet_code","lake_type","drainage_area","surface_area","mean_depth","total_inflow","retention_time","alkalinity","conductivity","sechhi","tp","po4","tin","tn","p_pnt_source_muni","p_pnt_source_industrial","p_pnt_source_septic","p_nonpnt_source","p_total","n_pnt_source_muni","n_pnt_source_industrial","n_pnt_source_septic","n_nonpnt_source","n_total","p_total_out","p_percent_retention","p_surface_area_loading","n_total_out","n_percent_retention","n_surface_area_loading"
"ILLINOIS","RACCOON LAKE","HARION","1762","IHPOUNDMENT",125.9,3.93,1.2,0,72,61,270,0.4,0.106,0.02,0.31,1.29,5,NA,30,4465,4500,305,NA,1110,75405,76020,3270,29,1.17,NA,43,19.5
"ILLINOIS","REND LAKE","FRANKLIN. JEFFERSON","1735","IMPOUNUMENT",1300.2,76.49,4.7,NA,1.2,70,290,0.7,0.071,0.012,0.21,1.2,15130,NA,NA,NA,74490,23845,NA,NA,731505,755350,37545,50,0.97,433690,43,9.9
"ILLINOIS","SANGCHRIS LAKE IEUTRUPHICT","CHRISTIAN","1753","IMPOUNDMENT",133.3,10.93,4,1.2,1.2,91,397,0.3,0.05,0.009,1.97,2.74,270,NA,5,NA,4190,1105,NA,135,NA,252235,2590,33,0.33,NA,49,23.1
"ILLINOIS","SHELBYVILLE RESERVOIR","SHELBY. MOULTRIE ,","1739","IMPOUNDMENT",NA,44.52,5,NA,131,166,424,1,0.062,0.019,3.29,4.16,37115,1380,15,145010,183520,108350,6630,640,NA,3825455,63255,66,4.12,NA,22,85.9
"ILLINOIS","SLOCUM LAKE","LAKE .","1753","NATURAL",22.6,0.37,1.2,0.1,121,214,650,0.3,0.365,0.362,0.2,6.04,5135,NA,15,4530,NA,17310,NA,430,NA,27635,NA,60,11.13,13535,33,31.3
"ILLINOIS","LAKE SPRINGFIELD","SANGAHON","1742","IHPOUNDHENT",631.2,17.13,NA,4,4.5,126,364,0.4,NA,0.103,0.059,3.265,3070,NA,NA,21030,NA,23190,NA,NA,1071745,NA,21720,25,1.7,713340,34,63.9
"ILLINOIS","LAKE STOREY","NNox","746/AB","IMPOUNDMENT",10.2,0.53,4.6,0.1,202,170,410,1,0.072,0.021,2.51,3.01,630,NA,NA,525,1155,NA,1885,NA,NA,21190,355,69,2.18,16620,23,43.5
"ILLINOIS","LAKE VANDALIA IEUTROPHIC)","FAYETTE ,","1764","IMPOUNDMENT",62.9,2.67,16.2,0.4,3.4,64,174,0.6,0.116,0.023,0.48,1.505,NA,90,NA,5,2475,NA,NA,265,NA,NA,2260,12,0.96,27555,7,11
"ILLINOIS","LAKE VERHILION IEUTROPHICI","VERMILION","1743","IMPOUNDMENT",774.4,2.33,1.4,5.1,9,219,530,0.5,0.109,0.05,4.695,6.12,3305,NA,195,NA,23330,25510,NA,7245,1065350,NA,NA,33,10.2,1020330,7,333
"ILLINOIS","LAKE HEE","FULTON","1761","IMPOUNDMENT",NA,NA,NA,0.3,NA,NA,NA,0.9,NA,NA,NA,NA,NA,135,NA,6666666666,NA,410,6666666666,6666666666,50045,NA,NA,53,0.01,35190,35,NA
"ILLINOIS","HONDER LAKE TEUTROPHICT","HCHENRY","1750","IHPOUNDHENT",252,2.95,NA,2.5,1.6,250,560,NA,0.4,0.426,0.132,0.39,NA,NA,545,10010,36540,50435,NA,20490,173750,244675,NA,56,12.39,NA,NA,82.9
