page,state,name,county,storet_code,lake_type,drainage_area,surface_area,mean_depth,total_inflow,retention_time,alkalinity,conductivity,sechhi,tp,po4,tin,tn
11,ARIZONA,BIG LAKE,APACHE,401,NATURAL,NA,NA,4.4,NA,NA,77,101,2.9,0.032,0.007,0.09,0.82
12,ARIZONA,FOOLS'HOLLOH LAKE,NAVAJO,402,IMPOUNOMENT,282.3,0.57,7,0.08,31.4,81,152,0.8,0.059,0.014,0.09,0.66
13,ARIZONA,LAKE HAVASU,MOHAVE. Azz SAN 8ERNADINO. CA,403,IMPOUNDMENT,NA,77.3,9.2,306.02,32,136,NA,2,0.015,0.005,0.17,0.54
14,ARIZONA,LUNA LAKE,APACHE,404,NA NA NA NA NA NA,NA,NA,NA,NA,NA,97,220,2.6,0.102,0.131,0.05,0.72
15,ARIZONA,LYMAN LAKE IEUTROPHIC),APACHE,405,IMPOUNDMENT,2046.1,5.67,6.7,0,2.4,NA,307,0.4,0.099,0.056,0.06,0.43
16,ARIZONA,LAKE MOHAVE,MOHAVE. Az; CLARK. Nv,406,IMPOUNDMENT,438486.8,105.63,18.9,314.95,73,137,884,3.3,0.017,0.01,0.24,0.6
17,ARIZONA,LAKE PLEASANT IEUTRDPHIC),MARICOPA. YAvAPAI,407,IHPOUNDMENT,NA,14.16,13.7,NA,NA,173,492,1.3,0.027,0.004,0.04,0.52
18,ARIZONA,LAKE PORELL,COCONINO. A2; GARFIELD. KANE. SAN JUAN. UT,403,IMPDUNDMENT,NA,353.13,51,NA,2,NA,530,4.5,0.01,0.009,0.41,0.6
19,ARIZONA,RAINBOR LAKE,NAVAJO .,409,NATURAL,26.2,0.32,4.6,0.29,171,118,179,1.5,0.046,0.009,0.045,0.62
20,ARIZONA,THEODORE ROOSEVELT LAKE,GILA,NA,IMPOUNDMENT,15084.2,60.7,28,31.96,1.9,NA,124,795,1.8,0.02,0.008,0.04
21,ARIZONA,SAN CARLOS RESERVOIR,GILA. GRAHAM. PINAL,411,IMPOUNDMENT,33374.7,52.61,15.3,12.22,NA,161,1258,0.6,0.056,0.009,0.06,0.52
22,CALIFORNIA,LAKE AMADOR,AMADOR .,601,1,NA,151.3,1.56,17.4,1.236,73,175,2.3,0.04,0.02,0.39,0.68
23,CALIFORNIA,NA,BOCA RESERVOIR IOLIGDTROPHIC),NEVADA,IMPOUNDMENT,445.5,3.97,12.8,6.024,112,37,NA,NA,3.2,0.012,0.003,0.04
24,CALIFORNIA,LAKE BRITTON,SHASTA,603,IMPOUNOMENT,NA,5.12,9.8,NA,6,74,135,1.3,0.067,0.047,0.115,0.315
25,CALIFORNIA,LAKE CASITAS,VENTURA,4,IMPDUNDMENI,NA,10.97,28.6,0.522,19.1,143,520,2.5,0.029,0.014,0.05,0.28
26,CALIFORNIA,LAKE CRONLEY,MONO,605,IMPOUNDMENT,NA,21.38,10.6,NA,NA,108,239,3.2,0.046,0.034,0.045,0.275
27,CALIFORNIA,DON PEDRO RESERVOIR,TUOLUMNE,606,IMPOUNDMENT,NA,52.45,47.7,46.868,1.7,19,44,3,0.013,0.004,0.06,0.25
28,CALIFORNIA,LAKE ELSINORE,RIVERSIDE,607,NATURAL,NA,10.52,NA,NA,NA,NA,5545,0.3,0.469,0.092,0.12,3.035
29,CALIFORNIA,FALLEN LEAF LAKE,EL DORADO ',608,NATURAL,43.3,5.71,1.5,1.51,64,12,14,12.1,0.007,0.005,0.04,0.22
30,CALIFORNIA,LAKE HENNESSEY,NAPA,609,IMPOUNDMENT,134.7,3.52,10.5,1.353,1,NA,247,2.1,0.027,0.012,0.06,0.35
31,CALIFORNIA,LAKE HENSHAH,SAN DIEGO,610,IMPOUNDMENT,533.5,24.36,6.1,0.964,5.7,NA,170,540,1,0.138,0.073,0.07
32,CALIFORNIA,IRON GATE RESERVOIR IEUTROPHIC),SISKIYOU,611,IMPOUNDMENT,11838.9,3.39,21.4,74.483,11,71,150,1.5,0.184,0.124,0.69,1.52
33,CALIFORNIA,LOPEZ RESERVOIR,SAN LUIS OBISPO,614,IMPOUNDMENT,175.3,3.8,16.6,0.336,7.3,337,493,3.3,0.371,0.343,0.09,0.54
34,CALIFORNIA,LAKE MARY,MONO,615,NATURAL,NA,0.42,8.2,NA,NA,21,33,5.2,0.01,0.002,0.04,0.22
35,CALIFORNIA,LAKE MENDOCINO,MENDOCINO,616,IMPOUNDMENT,271.9,7.92,19.1,10.952,168,76,104,1.6,0.02,0.008,0.05,0.32
36,CALIFORNIA,NICASIO RESERVOIR,MARIN,617,IMPOUNDMENT,NA,3.42,8.1,1.353,256,67,140,0.4,0.055,0.013,0.345,0.69
37,CALIFORNIA,LOHER OTAY RESERVOIR,SAN DIEGO,613,IMPOUNDMENT,256.4,4.53,15.2,NA,NA,151,375,1.3,0.053,0.013,0.13,0.92
38,CALIFORNIA,LAKE PILLSHURY,LAKE,619,IMPOUNOMENT,743.5,8.1,14.3,16.067,87,60,86,0.8,0.022,0.003,0.06,0.23
39,CALIFORNIA,SANTA MARGARITA LAKE,SAN LUIS OBISPO,620,IMPOUNDMENT,NA,3.18,10.1,0.747,1.6,125,291,2.5,0.037,0.014,0.07,0.42
40,CALIFORNIA,NA,SHASTA,621,IMPOUNOMENT,16630.4,NA,46.5,NA,217,57,98,3,0.021,0.015,0.06,0.24
41,CALIFORNIA,SHAVER LAKE,FRESNO,622,IMPOUNDMENT,75.4,3.39,19.9,7.649,252,13,18,3.9,0.014,0.004,0.06,0.25
42,CALIFORNIA,SILVER LAKE,MONO,623,NATURAL,NA,0.45,10.5,NA,NA,23,33,3.7,0.012,0.003,0.055,0.225
43,CALIFORNIA,TULLOCK RESERVOIR,CALAVERAS. TUOLUMNE,624,IMPOUNDMENT,2533.3,5.1,16.5,51.59,19,33,65,1.7,0.025,0.009,0.06,0.23
44,CALIFORNIA,LONER THIN LAKE,MONO,626,NATURAL,101.3,1.52,15.2,1.699,157,26,25,6.4,NA,0.014,0.003,0.04
45,CALIFORNIA,UPPER TRIN LAKE,MONO,625,NATURAL,76.4,1.07,14.3,1.303,136,25,32,5.1,0.015,0.004,0.04,0.22
46,COLORADO,BARKER RESERVOIR {MESOTROPHIC),BOULDER,1,0,NA,NA,1.7,0.3,1.6,10,29,2.1,NA,0.023,0.006,0.045
47,COLORADO,BARR LAKE ‘EUTROPHIC),ADAMS,802,IMPOUNDMENI,NA,7.57,5.2,NA,NA,162,591,1.2,0.93,0.73,1.09,2.96
48,COLORADO,BLUE MESA RESERVOIR,GUNNISON,303,IMPOUNDMENT,3373.3,36.62,31.1,47.647,325,91,149,2.6,0.019,0.005,0.04,0.32
49,COLORAOD,CHERRY CREEK LAKE,ARAPAHOE,804,IHPDUNOMENT,NA,3.24,5.2,0.208,3.6,177,422,0.8,0.054,0.007,0.04,0.77
50,COLORADO,DILLON RESERVOIR,SUMMIT,806,=,NA,867.6,12.76,24.6,NA,42,86,8.1,0.009,0.002,0.04,0.22
51,COLORADO,GRAND LAKE,GRAND 99* INCLUDES TRIRS AND LOADS FOR SRADOM MIN LAKE (0813),807,NATURAL,NA,2.05,41.3,13.465,NA,19,19,3.4,0.013,0.003,0.04,0.22
52,COLORADO,SHADOH MOUNTAIN LAKE,GRAND ..0 SEE GRAND LAKE (00071 FOR LOADING VALUES,13,IMPOUNDMENT,471,5.43,3,13.405,NA,27,33,1.8,0.02,0.003,0.04,NA
53,COLORADO,GREEN MOUNTAIN RESERVOIR,SUMMIT,808,IMPOUNDMENT,1551.4,8.6,22.2,13.46,164,54,107,2.8,NA,0.01,0.002,0.04
54,COLORADO,HOLRROOK RESERVOIR,OTERO,809,IMPOUNDMENT,NA,NA,NA,NA,NA,85,1812,0.3,0.329,0.028,0.07,3.02
55,COLORADO,LAKE MEREDITH,CROHLEY,810,IMPOUNDMENT,NA,13.03,2.5,NA,NA,100,7055,0.3,0.397,0.098,0.11,4.63
56,COLORADO,MILTON RESERVOIR,MELD,811,IMPOUNDMENT,NA,5.41,7.3,NA,NA,324,1078,1.8,0.846,0.808,2.28,3.53
57,COLORADO,NAVAJO RESERVOIR,"ARCMULETA. C0, SAN JUAN. RIO ARRIBA. NM",812,IMPOUNDMENT,3443.4,63.25,33.3,NA,1.4,71,166,0.5,0.036,0.013,0.05,0.365
58,IDAHO,AMERICAN FALLS RESERVOIR,BANNOCK. BINGHAM. PORER,1601,IMPOUNDMENT,35224,277.03,9.2,182.14,109,150,324,0.9,0.105,0.035,0.08,0.575
59,IDAHO,CASCADE RESERVOIR,VALLEY,1602,IMPOUNDMENT,1621.3,107.24,8.1,27.26,339,18,32,2.2,0.032,0.009,0.06,0.32
60,IDAMO,COEUR D‘ALENE LAKE,SENEMAM. KOOTENAI,1603,NATURAL,NA,NA,2.3,NA,19,23,43,3,0.017,0.005,0.04,0.22
61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,IDAHO,DRORSHAK RESERVOIR,CLEARRATER,1604,E,NA,NA,76.89,55.5,NA,18,13,2.5,0.01,0.009,0.08,0.26
63,IDAHO,HAUSER LAKE,KOOTENAI,I605,NATURAL,NA,2.43,1.2,NA,NA,24,42,3.4,0.028,0.013,0.075,0.42
64,IDAHO,HAYDEN LAKE,KOOTENAI,232/AB,1,NA,161.4,17,7.3,2,30,32,6.5,0.01,0.003,0.04,0.22
65,IDAHO,NA,FREMONT,1607,IMPOUNDMENT,1245.8,31.54,5,13.56,109,71,120,2.8,0.034,0.012,NA,0.32
66,IDAHO,LAKE LOMELL,CANYON,1608,IMPOUNDMENT,NA,NA,5.9,10.16,262,90,199,0.6,0.07,0.015,0.07,0.69
67,IDAHO,MAGIC RESERVOIR,CAMAS. BLAINE,1609,IMPOUNDMENT,4144,15.8,15,15.42,175,94,166,2.5,0.062,0.02,0.13,0.42
68,IDAHO,PALISAOES RESERVOIR,"RONNEVILLE. ID, LINCOLN. MY",1610,IMPOUNOMENT,13571.6,61.31,28.2,181.05,108,112,225,3.9,0.024,0.007,0.08,0.27
69,IDAHO,PAYETTE LAKE,VALLEY,1611,3,NA,373,21.6,5.7,10.58,12,18,6.8,0.013,0.007,0.06,0.24
